Lon_M;Lat_M;Date
-81.09252;-3.449328;20/02/2015
-81.59601;-3.452683;20/02/2015
-81.22185;-3.450617;20/02/2015
-81.6451;-3.444167;20/02/2015
-81.1092;-3.447283;20/02/2015
-81.79494;-3.44105;20/02/2015
-81.74481;-3.442883;20/02/2015
-81.15732;-3.44985;20/02/2015
-80.49597;-3.44515;21/02/2015
-80.9724;-3.447167;21/02/2015
-80.95314;-3.743067;21/02/2015
-80.56247;-3.448383;21/02/2015
-80.96972;-3.743083;21/02/2015
-81.53923;-3.732717;21/02/2015
-81.33895;-3.74325;21/02/2015
-80.88912;-3.450117;21/02/2015
-81.79809;-3.709958;21/02/2015
-81.08676;-3.743967;21/02/2015
-80.99192;-3.449333;21/02/2015
-81.28918;-3.743217;21/02/2015
-81.73122;-3.70545;21/02/2015
-80.57733;-3.447485;21/02/2015
-80.83883;-3.450217;21/02/2015
-82.07797;-3.74;21/02/2015
-82.09485;-3.740899;21/02/2015
-81.7481;-3.706233;21/02/2015
-81.3723;-3.741183;21/02/2015
-81.47247;-3.735033;21/02/2015
-81.55597;-3.732333;21/02/2015
-81.98679;-4.244817;22/02/2015
-81.30654;-4.25065;22/02/2015
-81.92004;-4.245621;22/02/2015
-81.60298;-4.251517;22/02/2015
-81.71704;-3.996933;22/02/2015
-82.35072;-4.23715;22/02/2015
-82.15194;-4.246883;22/02/2015
-82.53385;-4.251211;22/02/2015
-81.66957;-4.249733;22/02/2015
-81.49382;-3.984333;22/02/2015
-82.36717;-4.23875;22/02/2015
-81.42416;-3.979233;22/02/2015
-82.18586;-3.9994;22/02/2015
-81.35255;-4.24955;22/02/2015
-82.10382;-4.245633;22/02/2015
-81.80085;-3.9994;22/02/2015
-81.70026;-3.996321;22/02/2015
-82.03695;-4.24615;22/02/2015
-81.85341;-4.244771;22/02/2015
-81.37559;-3.992117;22/02/2015
-81.91805;-3.999517;22/02/2015
-81.53248;-3.99835;22/02/2015
-82.16834;-4.243883;22/02/2015
-81.90365;-4.245483;22/02/2015
-81.19251;-3.9987;22/02/2015
-81.20928;-3.998567;22/02/2015
-81.95146;-3.999819;22/02/2015
-82.10211;-3.999417;22/02/2015
-81.88687;-4.245183;22/02/2015
-82.03532;-3.999633;22/02/2015
-82.55473;-4.75095;23/02/2015
-82.08753;-4.499717;23/02/2015
-81.57871;-4.488733;23/02/2015
-82.43947;-4.49865;23/02/2015
-81.7539;-4.746883;23/02/2015
-81.45291;-4.491383;23/02/2015
-81.85425;-4.74425;23/02/2015
-82.53795;-4.750733;23/02/2015
-82.13766;-4.49945;23/02/2015
-82.02368;-4.496433;23/02/2015
-81.63696;-4.749519;23/02/2015
-82.45632;-4.49905;23/02/2015
-81.52074;-4.740369;23/02/2015
-81.53632;-4.488283;23/02/2015
-82.28152;-4.99055;24/02/2015
-81.8765;-4.999883;24/02/2015
-82.34842;-4.99795;24/02/2015
-81.9704;-4.995833;24/02/2015
-82.24805;-4.9908;24/02/2015
-81.70903;-4.999664;24/02/2015
-81.8932;-4.99965;24/02/2015
-81.41308;-4.9977;24/02/2015
-81.35107;-4.989083;24/02/2015
-82.3555;-5.252183;26/02/2015
-82.09963;-5.5048;26/02/2015
-82.12112;-5.253133;26/02/2015
-81.33993;-5.250083;26/02/2015
-81.62004;-5.255439;26/02/2015
-82.04916;-5.5049;26/02/2015
-81.93928;-5.2554;26/02/2015
-81.73702;-5.25447;26/02/2015
-82.24898;-5.503283;26/02/2015
-82.27176;-5.251167;26/02/2015
-82.4894;-5.250317;26/02/2015
-82.15456;-5.25355;26/02/2015
-82.3052;-5.251667;26/02/2015
-81.67663;-5.511317;26/02/2015
-81.99935;-5.508467;26/02/2015
-81.42244;-5.249567;26/02/2015
-81.86071;-5.51835;26/02/2015
-81.67032;-5.255043;26/02/2015
-81.3718;-5.248483;26/02/2015
-82.21673;-5.503067;26/02/2015
-81.72949;-5.75375;27/02/2015
-81.99534;-5.754083;27/02/2015
-81.46157;-5.75245;27/02/2015
-81.32787;-5.75465;27/02/2015
-81.61233;-5.753867;27/02/2015
-81.43139;-5.47125;27/02/2015
-81.62911;-5.753983;27/02/2015
-81.38141;-5.476737;27/02/2015
-81.54518;-5.753767;27/02/2015
-81.12743;-5.75565;27/02/2015
-81.14673;-5.496033;27/02/2015
-81.57892;-5.75375;27/02/2015
-81.71257;-5.753911;27/02/2015
-81.59558;-5.753783;27/02/2015
-81.02627;-5.756067;27/02/2015
-82.13968;-6.522193;28/02/2015
-81.56874;-6.206328;28/02/2015
-82.28518;-6.606017;28/02/2015
-81.50772;-5.99705;28/02/2015
-82.06752;-6.47955;28/02/2015
-82.09624;-6.496592;28/02/2015
-81.32408;-6.00055;28/02/2015
-81.7503;-5.9987;28/02/2015
-81.27413;-5.999;28/02/2015
-81.72712;-6.30095;28/02/2015
-81.79607;-6.321183;28/02/2015
-81.64053;-6.24978;28/02/2015
-81.59381;-5.997533;28/02/2015
-81.84043;-6.344491;28/02/2015
-81.31837;-6.079375;28/02/2015
-81.44105;-5.989833;28/02/2015
-81.40456;-6.11958;28/02/2015
-81.27973;-6.327;01/03/2015
-80.93622;-6.40195;01/03/2015
-81.1936;-6.280873;01/03/2015
-81.48708;-6.45098;01/03/2015
-81.4;-6.400709;01/03/2015
-81.00083;-6.452167;01/03/2015
-80.97676;-6.432497;01/03/2015
-81.38534;-6.392358;01/03/2015
-81.07375;-6.490617;01/03/2015
-81.15017;-6.255168;01/03/2015
-81.10186;-6.508553;02/03/2015
-80.94385;-6.712868;02/03/2015
-80.71632;-6.5829;02/03/2015
-81.1758;-6.849236;02/03/2015
-81.39917;-6.685025;02/03/2015
-81.33587;-6.944033;02/03/2015
-80.92942;-6.704486;02/03/2015
-80.57006;-6.498498;02/03/2015
-80.28936;-6.685062;02/03/2015
-81.58678;-6.796504;02/03/2015
-81.27705;-6.911208;02/03/2015
-80.73101;-6.591502;02/03/2015
-80.49183;-7.042431;03/03/2015
-80.35795;-6.972067;03/03/2015
-80.50673;-7.050764;03/03/2015
-80.46093;-7.315279;03/03/2015
-80.29634;-7.19886;03/03/2015
-80.61372;-7.106217;03/03/2015
-80.59541;-6.770313;03/03/2015
-79.94597;-7.00635;03/03/2015
-80.31338;-6.661983;03/03/2015
-80.24173;-7.15973;03/03/2015
-80.72063;-7.166905;03/03/2015
-80.84878;-6.899842;03/03/2015
-80.25554;-7.169454;03/03/2015
-80.77302;-6.862517;03/03/2015
-80.64737;-7.129592;03/03/2015
-80.31968;-6.646369;03/03/2015
-80.11332;-6.839559;03/03/2015
-80.18937;-6.876;03/03/2015
-80.61099;-6.776779;03/03/2015
-80.33064;-6.64711;03/03/2015
-80.61672;-7.113883;03/03/2015
-80.54588;-6.761067;03/03/2015
-80.48389;-6.738177;03/03/2015
-80.21982;-6.890233;03/03/2015
-79.80275;-7.205764;04/03/2015
-80.40628;-7.566658;04/03/2015
-79.67462;-7.437412;04/03/2015
-80.14495;-7.412133;04/03/2015
-80.38657;-7.8506;04/03/2015
-79.65977;-7.429683;04/03/2015
-80.52749;-8.225662;04/03/2015
-80.34291;-7.82607;04/03/2015
-79.98203;-7.298283;04/03/2015
-80.11812;-7.3943;04/03/2015
-80.18898;-7.438133;04/03/2015
-80.05219;-7.65789;04/03/2015
-80.61552;-8.2754;04/03/2015
-79.89227;-7.25245;04/03/2015
-80.55698;-8.2423;04/03/2015
-80.27595;-7.489642;04/03/2015
-79.74734;-7.479772;04/03/2015
-79.79054;-7.505712;04/03/2015
-79.76165;-7.488393;04/03/2015
-79.94695;-8.168677;05/03/2015
-79.45642;-7.879028;05/03/2015
-80.08106;-7.967717;05/03/2015
-79.65618;-7.7153;05/03/2015
-79.44123;-7.871611;05/03/2015
-79.84671;-7.812862;05/03/2015
-80.18265;-8.028032;05/03/2015
-79.76025;-8.054438;05/03/2015
-79.70435;-8.0174;05/03/2015
-79.73235;-8.035644;05/03/2015
-80.09593;-7.976369;05/03/2015
-79.78989;-7.78674;05/03/2015
-80.25532;-8.070833;05/03/2015
-80.15378;-8.010443;05/03/2015
-79.62112;-7.960116;05/03/2015
-79.70053;-7.7395;05/03/2015
-79.91903;-8.150242;05/03/2015
-79.8549;-8.111017;05/03/2015
-80.35722;-8.13071;05/03/2015
-80.02282;-7.917321;05/03/2015
-80.08179;-8.234617;06/03/2015
-80.04882;-8.22555;06/03/2015
-79.85557;-8.410969;06/03/2015
-79.66366;-8.304971;06/03/2015
-79.41019;-8.154505;06/03/2015
-79.76758;-8.361092;06/03/2015
-79.58083;-8.522267;07/03/2015
-79.26445;-8.3369;07/03/2015
-79.3211;-8.372685;07/03/2015
-79.12495;-8.259033;07/03/2015
-79.29319;-8.354524;07/03/2015
-79.51109;-8.474993;07/03/2015
